Date,Open,High,Low,Close
2022-10-03,631.0,631.0,621.25,623.55
2022-10-04,633.8,645.0,632.15,643.2
2022-10-06,648.4,678.0,648.4,674.45
2022-10-07,671.4,673.0,659.55,666.05
2022-10-10,655.65,668.0,654.5,666.0
2022-10-11,669.35,669.35,640.0,642.75
2022-10-12,646.0,653.75,638.2,651.1
2022-10-13,652.5,656.0,641.7,648.35
2022-10-14,658.0,659.5,639.0,640.25
2022-10-17,633.15,636.25,624.0,631.45
2022-10-18,634.6,638.5,631.15,636.75
2022-10-19,639.95,639.95,625.0,625.9
2022-10-20,618.6,630.0,615.0,628.4
2022-10-21,630.1,630.5,616.5,622.05
2022-10-24,622.0,633.95,620.55,629.6
2022-10-25,624.2,650.95,624.2,644.35
2022-10-27,650.0,683.0,648.0,679.6
2022-10-28,676.6,678.45,663.45,670.4
2022-10-31,672.0,676.45,669.05,673.95
