Date,Open,High,Low,Close
2022-10-03,3781.0,3781.9,3444.95,3463.35
2022-10-04,3524.0,3579.9,3516.65,3555.0
2022-10-06,3560.0,3596.85,3520.0,3531.35
2022-10-07,3531.35,3550.0,3467.55,3498.55
2022-10-10,3461.0,3542.0,3451.3,3531.6
2022-10-11,3549.15,3550.65,3392.5,3408.0
2022-10-12,3425.05,3468.65,3377.0,3458.2
2022-10-13,3467.8,3554.95,3445.0,3471.2
2022-10-14,3544.65,3554.9,3469.8,3477.2
2022-10-17,3470.0,3525.0,3465.3,3514.7
2022-10-18,3532.3,3622.0,3529.95,3612.5
2022-10-19,3629.9,3685.0,3600.15,3612.3
2022-10-20,3597.0,3660.0,3560.0,3651.15
2022-10-21,3651.15,3684.7,3568.0,3629.5
2022-10-24,3684.9,3684.9,3630.6,3641.2
2022-10-25,3677.0,3724.0,3650.0,3710.65
2022-10-27,3741.05,3741.05,3661.0,3710.65
2022-10-28,3721.0,3773.1,3697.15,3745.75
2022-10-31,3764.5,3864.1,3758.0,3850.45
