Date,Open,High,Low,Close
2022-10-03,932.35,932.85,916.0,930.25
2022-10-04,942.5,951.0,937.05,946.0
2022-10-06,955.5,967.95,955.5,964.55
2022-10-07,965.0,972.95,955.0,957.7
2022-10-10,942.2,967.15,942.2,963.25
2022-10-11,968.1,972.0,936.0,938.6
2022-10-12,943.3,963.9,943.3,952.0
2022-10-13,972.05,989.05,969.3,982.1
2022-10-14,1005.0,1023.0,994.0,1002.55
2022-10-17,1005.7,1006.8,991.1,994.6
2022-10-18,1000.0,1013.65,999.1,1009.2
2022-10-19,1006.5,1006.5,994.0,995.65
2022-10-20,990.0,1019.3,988.0,1017.4
2022-10-21,1022.5,1029.9,1011.6,1027.2
2022-10-24,1035.0,1038.85,1030.0,1031.6
2022-10-25,1036.0,1037.25,1020.9,1026.5
2022-10-27,1031.0,1037.45,1019.6,1032.05
2022-10-28,1031.95,1039.75,1025.5,1030.0
2022-10-31,1039.0,1052.5,1036.4,1041.15
