Date,Open,High,Low,Close
2022-10-03,3700.0,3797.0,3700.0,3726.85
2022-10-04,3769.0,3795.0,3737.8,3780.1
2022-10-06,3799.0,3806.6,3713.05,3733.0
2022-10-07,3722.7,3749.9,3694.05,3735.75
2022-10-10,3682.8,3739.6,3650.1,3686.6
2022-10-11,3705.05,3705.05,3490.0,3502.2
2022-10-12,3510.0,3540.2,3472.0,3527.8
2022-10-13,3520.0,3543.9,3500.5,3523.85
2022-10-14,3545.85,3587.45,3541.05,3572.8
2022-10-17,3550.0,3602.8,3550.0,3578.55
2022-10-18,3588.0,3598.0,3563.0,3572.25
2022-10-19,3585.0,3612.0,3562.05,3608.05
2022-10-20,3582.0,3655.55,3564.5,3651.9
2022-10-21,3667.0,3669.0,3563.0,3571.4
2022-10-24,3629.9,3629.9,3585.0,3612.45
2022-10-25,3616.4,3618.9,3567.35,3597.15
2022-10-27,3634.0,3634.0,3597.45,3621.05
2022-10-28,3639.2,3639.2,3540.0,3547.5
2022-10-31,3567.45,3620.0,3567.45,3608.9
